appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags,estimated players,estimated active players,average total playtime,average recent playtime,release_date,days_from_release,languages_supports,review_num,positive_rate,cut_time,average_cut,duration,average_price,fix
833090,Swords of Gurrah,"Devster, LLC","Devster, LLC",,624,117,0,"20,000 .. 50,000",48,0,48,0,14.99,1499,0,4,English,"Action, Early Access","{'Action': 239, 'Early Access': 89, 'VR': 86, 'Multiplayer': 83, 'Combat': 78, 'Swordplay': 74, 'Sci-fi': 71, 'Fighting': 68, 'PvE': 65, 'PvP': 62, 'Co-op': 54, 'Competitive': 52, 'e-sports': 48, 'Futuristic': 46, 'Ninja': 43, 'Choices Matter': 40, 'Physics': 36, 'Online Co-Op': 34, 'Singleplayer': 32, 'Female Protagonist': 30, 'VR Only': 1}",197000.0,32000000.0,0.5h,0.2h,"Apr 21, 2020",492,1,741,0.84,8,0.29,11,13.24,True
302170,The Cameron Files: The Secret at Loch Ness,Microids,Microids,,35,27,0,"0 .. 20,000",33,0,33,0,2.99,299,0,0,"English, French, Italian, German, Spanish - Spain, Portuguese","Adventure, Casual","{'Adventure': 32, 'Casual': 25, 'Point & Click': 10}",462000.0,2000000.0,0.4h,0.1h,"Jul 18, 2014",2596,6,62,0.56,20,0.82,8,1.76,True
736390,Unforgiving Happiness,Ezalbot,Ezalbot,,10,1,0,"0 .. 20,000",0,0,0,0,0.99,99,0,0,English,"Casual, Indie","{'Indie': 22, 'Casual': 22, 'Strategy': 11, 'Platformer': 11, 'Relaxing': 11, 'Puzzle': 11, 'Story Rich': 11, 'Great Soundtrack': 11, 'Side Scroller': 11, 'Singleplayer': 11, 'Puzzle-Platformer': 11, '3D Platformer': 10}",16000.0,0.0,0.2h,0h,"Nov 14, 2017",1381,1,11,0.91,5,0.64,9,1.77,True
608440,Volatile Triangle,TraxxGames,TraxxGames,,7,0,0,"0 .. 20,000",112,0,112,0,1.99,199,0,0,"English, French, Spanish - Spain","Action, Casual, Indie","{'Action': 21, 'Indie': 21, 'Casual': 21}",8000.0,0.0,0h,0h,"Mar 2, 2018",1273,3,7,1.0,13,0.47,8,1.9,True
333970,A Druid's Duel,Thoughtshelter Games,Surprise Attack,,79,29,0,"0 .. 20,000",287,0,287,0,7.99,799,0,0,English,"Indie, Strategy","{'Indie': 35, 'Strategy': 26, 'Multiplayer': 25, 'Singleplayer': 15, 'Turn-Based Strategy': 14, 'Tactical': 6}",282000.0,5000000.0,3.1h,0.2h,"Feb 25, 2015",2374,1,108,0.73,20,0.59,8,5.61,True
519003,Kikoriki: Medium,,,,198,14,0,"0 .. 20,000",0,0,0,0,0.0,0,0,0,English,,"{'Story Rich': 342, 'Action': 220, 'Cartoon': 169, 'Family Friendly': 135, 'Episodic': 127, 'Great Soundtrack': 124, 'Parkour': 123, 'Choices Matter': 106, 'Sci-fi': 103, 'Massively Multiplayer': 65, 'Adventure': 58, 'Comedy': 54, 'RPG': 47, 'Rogue-like': 45, 'Indie': 45, 'Cute': 45, 'Sandbox': 40, 'Simulation': 39, 'Masterpiece': 34, 'Free to Play': 34}",2000.0,0.0,0h,0h,"Sep 22, 2016",1799,1,212,0.93,NA,NA,NA,NA,True
969880,Terrible Beast from the East,Sleeping Hero,SakuraGame,,45,52,0,"0 .. 20,000",0,0,0,0,1.99,199,0,0,"English, Traditional Chinese","Action, Adventure, Massively Multiplayer, RPG","{'Action': 22, 'Adventure': 20, 'RPG': 20, 'Massively Multiplayer': 20}",48000.0,2000000.0,2.2h,0.4h,"Jan 3, 2019",969,2,97,0.4639175257731959,23,0.62,12,1.38,True
718330,Cubic,Mikhail Melnikov,Mikhail Melnikov,,235,47,0,"20,000 .. 50,000",0,0,0,0,0.99,99,0,0,"English, Russian","Casual, Indie","{'Indie': 40, 'Casual': 37, 'Puzzle': 18}",615000.0,16000000.0,1.3h,0h,"Oct 9, 2017",1417,2,282,0.83,33,0.52,11,0.88,True
816810,Unlight:SchizoChronicle,Techway,Techway,,58,27,0,"20,000 .. 50,000",0,0,0,0,0.0,0,0,0,"English, Not supported, Traditional Chinese, Japanese","Casual, Free to Play","{'Free to Play': 27, 'Casual': 23, 'Card Game': 11, 'Anime': 7}",111000.0,1000000.0,2.1h,0.6h,"May 21, 2018",1196,4,85,0.6823529411764706,0,0,0,0,True
325790,Fallen: A2P Protocol,Red Katana,Red Katana,,84,141,0,"20,000 .. 50,000",204,0,204,0,9.99,999,0,0,"English, Spanish - Spain, French, Portuguese - Brazil, German, Russian, Hungarian","Indie, RPG, Strategy","{'RPG': 58, 'Strategy': 58, 'Turn-Based': 54, 'Indie': 48, 'Post-apocalyptic': 42, 'Turn-Based Strategy': 41, 'Tactical': 39, 'Turn-Based Tactics': 38, 'Singleplayer': 34, 'Isometric': 34, 'Turn-Based Combat': 33, 'Story Rich': 28, 'Tactical RPG': 26, 'CRPG': 26, 'Sci-fi': 24, 'Kickstarter': 24, 'Early Access': 24, 'Crowdfunded': 23, 'Strategy RPG': 23, 'Adventure': 23}",67000.0,2000000.0,2.7h,0.1h,"Aug 14, 2015",2207,7,225,0.37333333333333335,14,0.5,8,13.96,True
